created_at,text
2021-12-03 7:42:53,"RT @DearDean22: Folk illogically mad that Pres Obama didn’t “force” RGB to retire, or mad that she didn’t retire on her own.. while there’s…"
2021-12-03 7:42:51,"RT @FrauBooka: Obama on Angela Merkel
“So many people, girls and boys, men and women, have had a role model who they could look up to throu…"
2021-12-03 7:42:49,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:42:45,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:42:45,"RT @DraftAmmar: Ammar Campa-Najjar is the first Latino-Arab American to run for Congress and a former Obama appointee. 

Let's follow @Draf…"
2021-12-03 7:42:41,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:42:37,"RT @TIME: “This idea of purity and you’re never compromised and you’re always politically woke and all that stuff, you should get over that…"
2021-12-03 7:42:36,"@JacobBaker321 @MichelleSteelCA Right… and racism ended when Obama was elected as POTUS.  

Did I do it right?"
2021-12-03 7:42:31,RT @donwinslow: The same Mitch McConnell who stopped President Obama's Supreme Court nominee and laughed about it and who put 3 Supreme Cou…
2021-12-03 7:42:19,"RT @MohammedMahmude: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won…"
2021-12-03 7:42:12,"RT @EagleEyeFlyer: No…
You are running for Governor because George Soros is funding it..
Mark Zuckerberg is buying you votes..
AND..
Barack…"
2021-12-03 7:42:09,"RT @SavageJoyMarie1: That time Obama considered Tim Kaine as a running mate, but …..
He wasn’t too pro-life gif hillary

https://t.co/artvC…"
2021-12-03 7:41:43,"RT @white_mosco: It's a shamed to witness these impunity going on in Nigeria and all the SANs,the Human rightsgroups and lawyers in NIG're…"
2021-12-03 7:41:39,"RT @whyweseek: @SxarletRed Saw this floating around earlier...
https://t.co/0BhlAFoLwg"
2021-12-03 7:41:38,RT @itsJeffTiedrich: remember during the Benghazi investigations when Obama blocked access to documents and Hillary invoked the fifth amend…
2021-12-03 7:41:26,"@FinanceLancelot something has felt ""off"" ever since we were told by Dumbya Bush &amp; Obama that WE CAN BUY OURSELVES… https://t.co/61WU7vSs7q"
2021-12-03 7:41:21,"RT @Mlatinyes: Criminals.                                       Obama, Fauci visit DC elementary school to promote COVID shots for kids - L…"
2021-12-03 7:41:14,"RT @BarackObama: I’m always inspired by young leaders like Rachid Ennassiri, who is helping more people in Morocco get involved in the figh…"
2021-12-03 7:41:09,"RT @spectatorindex: US Presidents since Angela Merkel became Chancellor of Germany:

- George W. Bush
- Barack Obama
- Donald Trump
- Joe B…"
2021-12-03 7:40:58,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:40:57,RT @TheAnything_Bot: Megamind knows what Obama's last name is... https://t.co/yyHkfi7HW8
2021-12-03 7:40:53,RT @TheAnything_Bot: Megamind knows what Obama's last name is... https://t.co/yyHkfi7HW8
2021-12-03 7:40:47,RT @DradeeusKedi: @Alexand3rTheMeh Telling a reporter in 1974 that he disliked the Roe v. Wade decision because “I don’t think that a woman…
2021-12-03 7:40:41,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:40:40,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:40:36,RT @itsJeffTiedrich: remember during the Benghazi investigations when Obama blocked access to documents and Hillary invoked the fifth amend…
2021-12-03 7:40:33,Can't believe that Barack Obama just hurt those kids.
2021-12-03 7:40:30,"Obama on Angela Merkel
“So many people, girls and boys, men and women, have had a role model who they could look up… https://t.co/s5F50xvTTh"
2021-12-03 7:40:29,RT @Solomon73155195: @JonAbbink I couldn't find a headline that said a Nobel Peace Prize winner #Obama invaded #Libya &amp; destroyed #Syria. D…
2021-12-03 7:40:27,"@panzer571 @IsraeliPM @IsraelinUSA @SecBlinken Obama supported the nuclear program of Iran
Your point?"
2021-12-03 7:40:26,Obama is turning the the peoples against us with chemicals.
2021-12-03 7:40:25,RT @ggreenwald: The reason I quickly built a large readership when I began writing about politics in 2005 was so many Dems loved my work de…
2021-12-03 7:40:16,"@joe_obrien5858 @LammaticHama @holocage In what world are you living in?
The same was said about Bush Jr. After two… https://t.co/3pH8VveRfe"
2021-12-03 7:40:06,Michelle Obama outraged conservatives when she implied that *Mr. Buttlicker* maybe wasn't such a bad thing. #cah
2021-12-03 7:40:04,"❌OMG 😱❌
❌NOW IT MAKES SENSE, WHY OBAMA WAS THE ONLY ONE, WHO WELCOMED GERMAN CHANCELLOR ANGELA MERKEL WITH KISSES ❌ https://t.co/Z0jJW4pQZa"
2021-12-03 7:39:51,RT @itsJeffTiedrich: remember during the Benghazi investigations when Obama blocked access to documents and Hillary invoked the fifth amend…
2021-12-03 7:39:44,"@Blitzkrieg71240 Obama weaponized them,and before he left office he phyically weponized each branch and ammo too,why????"
2021-12-03 7:39:42,@HullKamaniaBro The rich and famous don’t wear one.. it’s the only us peasants that need one. Apparently Covid is o… https://t.co/oETb4CkkhE
2021-12-03 7:39:26,"RT @spectatorindex: US Presidents since Angela Merkel became Chancellor of Germany:

- George W. Bush
- Barack Obama
- Donald Trump
- Joe B…"
2021-12-03 7:39:21,From a thrashed Ivanka Trump to a amazing Michelle Obama: A miss is as good as a mile. -  The Impaired Icthyocentaur
2021-12-03 7:39:14,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:39:00,"@MaoistBidenism You may be right, but I don’t think earlier votes for Obama’s nominees are a particularly valid pie… https://t.co/nEfIBHQzRA"
2021-12-03 7:38:45,@texasinfidel16 @eddiek005 @mtgreenee 8.6 trillion*. Also Obama added that in two terms while Trump added 6.7 trill… https://t.co/YMZ41xQebr
2021-12-03 7:38:19,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:38:13,"RT @BaddCompani: Today I'm a Happy Man. Here me out.
In 2011 Obama did an Executive Order on the Mob. He hired Bobby III Sticks to head tha…"
2021-12-03 7:38:00,@VickreyFan I do not find a Republican Senate denying Merrick Garland a seat on the Court for four years to be a pa… https://t.co/AHCmuEKs4P
2021-12-03 7:37:59,@deborah93901 Don't expect a literary effort. It is not. It is a PHOTO ALBUM.  Not to be compared to the post Presi… https://t.co/XstfT9Aqr7
2021-12-03 7:37:54,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:37:40,It’s really a ghetto if you pay over 1 million naira and your kids end up doing con-fraternities. If I pay that amo… https://t.co/kAdtR5Ka0J
